5.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,6.0,6.0,7.0,6.0,4.0,4.0,6.0,5.0,4.0,4.0,6.0,10.0,11.0,13.0,18.0,17.0,18.0,21.0,18.0,18.0,22.0,22.0,22.0,23.0,25.0,27.0,26.0,26.0,30.0,32.0,30.0,32.0,34.0,38.0,47.0,52.0,50.0,45.0,42.0,40.0,42.0,42.0,51.0,56.0,58.0,57.0,63.0,61.0,62.0,62.0,63.0,71.0,77.0,91.0,100.0,110.0,108.0,111.0,101.0,92.0,73.0,75.0,66.0,56.0,46.0,39.0,41.0,41.0,40.0,37.0,28.0,24.0,29.0,24.0,22.0,23.0,23.0,23.0,25.0,21.0,17.0,11.0,11.0,10.0,9.0,7.0,7.0,6.0,4.0,5.0,4.0
5.0,6.0,6.0,5.0,4.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,5.0,7.0,8.0,9.0,9.0,10.0,12.0,13.0,15.0,15.0,17.0,21.0,23.0,21.0,19.0,18.0,22.0,26.0,30.0,31.0,32.0,34.0,33.0,34.0,35.0,33.0,37.0,40.0,49.0,47.0,47.0,48.0,54.0,58.0,60.0,63.0,70.0,78.0,78.0,81.0,86.0,92.0,103.0,109.0,116.0,122.0,140.0,156.0,165.0,159.0,176.0,189.0,187.0,214.0,240.0,259.0,284.0,259.0,241.0,219.0,181.0,159.0,146.0,124.0,94.0,82.0,74.0,68.0,65.0,59.0,54.0,42.0,41.0,40.0,36.0,35.0,31.0,25.0,25.0,20.0,19.0,11.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0
5.0,5.0,7.0,5.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,5.0,7.0,8.0,9.0,6.0,4.0,5.0,6.0,6.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,2.0,0.0,3.0,3.0,5.0,7.0,7.0,6.0,8.0,5.0,5.0,7.0,7.0,8.0,8.0,5.0,8.0,6.0,8.0,7.0,8.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,9.0,10.0,13.0,12.0,10.0,15.0,18.0,20.0,19.0,17.0,13.0,14.0,12.0,14.0,17.0,21.0,22.0,25.0,24.0,27.0,28.0,31.0,30.0,28.0,27.0,29.0,36.0,35.0,44.0,45.0,49.0,44.0,37.0,41.0,42.0,43.0,44.0,39.0,41.0,44.0,49.0,47.0,48.0,52.0,54.0,59.0,62.0,66.0,65.0,64.0,69.0,60.0,55.0,54.0,50.0,46.0,44.0,38.0,35.0,27.0,27.0,23.0,21.0,19.0,17.0,16.0,13.0,10.0,12.0,12.0,10.0,8.0,9.0,6.0,7.0,9.0,9.0,8.0,7.0,6.0,6.0,4.0,4.0,3.0,1.0
5.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,6.0,10.0,12.0,11.0,12.0,12.0,14.0,15.0,11.0,10.0,8.0,5.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,6.0,6.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,6.0,8.0,8.0,8.0,10.0,12.0,14.0,16.0,15.0,14.0,15.0,16.0,19.0,18.0,19.0,22.0,21.0,20.0,19.0,13.0,8.0,6.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,6.0,6.0,7.0,8.0,6.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,8.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,7.0,7.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,10.0,11.0,14.0,14.0,18.0,20.0,19.0,23.0,29.0,28.0,28.0,30.0,29.0,32.0,31.0,33.0,32.0,36.0,37.0,29.0,29.0,24.0,20.0,18.0,15.0,15.0,13.0,15.0,15.0,13.0,13.0,10.0,9.0,8.0,7.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
