5.0,5.0,5.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,8.0,11.0,12.0,14.0,11.0,14.0,16.0,16.0,20.0,19.0,20.0,18.0,22.0,25.0,24.0,29.0,36.0,38.0,44.0,47.0,54.0,54.0,57.0,61.0,67.0,82.0,102.0,122.0,138.0,154.0,165.0,171.0,161.0,146.0,135.0,104.0,92.0,79.0,74.0,66.0,66.0,64.0,53.0,46.0,43.0,43.0,34.0,28.0,22.0,21.0,19.0,14.0,13.0,13.0,12.0,10.0,9.0,11.0,11.0,10.0,8.0,7.0,5.0,4.0,3.0,3.0
5.0,5.0,6.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,10.0,10.0,9.0,13.0,12.0,13.0,15.0,12.0,18.0,21.0,25.0,25.0,30.0,30.0,29.0,31.0,33.0,34.0,36.0,38.0,45.0,50.0,61.0,65.0,65.0,81.0,88.0,91.0,100.0,105.0,127.0,141.0,156.0,173.0,183.0,218.0,247.0,269.0,263.0,252.0,208.0,181.0,154.0,141.0,123.0,112.0,103.0,89.0,67.0,63.0,62.0,46.0,40.0,34.0,29.0,29.0,27.0,24.0,20.0,18.0,12.0,10.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,2.0,2.0
5.0,6.0,6.0,5.0,4.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,6.0,6.0,7.0,5.0,5.0,8.0,10.0,12.0,9.0,7.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,13.0,15.0,16.0,16.0,21.0,19.0,20.0,20.0,17.0,11.0,10.0,5.0,6.0,7.0,7.0,7.0,7.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,5.0,7.0,9.0,9.0,11.0,14.0,15.0,15.0,14.0,12.0,17.0,19.0,19.0,22.0,24.0,21.0,21.0,26.0,28.0,30.0,36.0,41.0,49.0,51.0,58.0,71.0,79.0,71.0,79.0,81.0,87.0,101.0,125.0,134.0,162.0,186.0,226.0,243.0,267.0,288.0,316.0,315.0,346.0,376.0,448.0,508.0,490.0,439.0,372.0,342.0,284.0,242.0,204.0,171.0,154.0,137.0,131.0,120.0,105.0,78.0,67.0,57.0,52.0,45.0,41.0,34.0,30.0,22.0,19.0,15.0,13.0,14.0,8.0,7.0,8.0,10.0,9.0,8.0,7.0,8.0
5.0,5.0,7.0,5.0,6.0,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,8.0,9.0,9.0,8.0,10.0,11.0,10.0,11.0,16.0,16.0,14.0,13.0,12.0,15.0,17.0,16.0,21.0,19.0,27.0,25.0,24.0,30.0,29.0,29.0,35.0,35.0,34.0,33.0,35.0,38.0,43.0,41.0,62.0,70.0,74.0,73.0,69.0,60.0,51.0,45.0,35.0,33.0,34.0,28.0,25.0,18.0,17.0,14.0,13.0,9.0,6.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
5.0,5.0,5.0,6.0,8.0,11.0,11.0,11.0,11.0,9.0,14.0,13.0,11.0,12.0,15.0,15.0,14.0,13.0,12.0,17.0,20.0,23.0,33.0,34.0,33.0,29.0,36.0,37.0,44.0,50.0,58.0,63.0,72.0,93.0,104.0,113.0,133.0,145.0,162.0,188.0,216.0,249.0,264.0,299.0,323.0,348.0,364.0,418.0,400.0,378.0,350.0,302.0,260.0,244.0,209.0,174.0,157.0,143.0,131.0,117.0,99.0,90.0,77.0,69.0,59.0,56.0,52.0,47.0,49.0,41.0,37.0,27.0,19.0,19.0,17.0,16.0,12.0,12.0,13.0,11.0,10.0,10.0
5.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,5.0,6.0,5.0,7.0,7.0,7.0,9.0,12.0,10.0,11.0,10.0,10.0,7.0,11.0,9.0,9.0,14.0,17.0,19.0,27.0,42.0,49.0,55.0,55.0,64.0,68.0,77.0,86.0,96.0,91.0,79.0,72.0,61.0,53.0,49.0,45.0,42.0,40.0,32.0,27.0,25.0,24.0,21.0,20.0,11.0,8.0,7.0,7.0,9.0,7.0,7.0,6.0,7.0,8.0,6.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0
5.0,5.0,6.0,6.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,7.0,6.0,9.0,12.0,11.0,12.0,13.0,13.0,19.0,24.0,27.0,29.0,35.0,35.0,38.0,41.0,47.0,47.0,53.0,56.0,55.0,53.0,50.0,53.0,48.0,40.0,32.0,28.0,24.0,20.0,21.0,24.0,18.0,21.0,18.0,18.0,13.0,12.0,10.0,7.0,8.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
5.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,7.0,3.0,4.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,6.0,7.0,9.0,6.0,7.0,8.0,11.0,15.0,16.0,20.0,20.0,20.0,23.0,24.0,22.0,31.0,41.0,49.0,59.0,56.0,52.0,49.0,39.0,39.0,30.0,32.0,25.0,21.0,18.0,15.0,14.0,10.0,11.0,13.0,10.0,10.0,12.0,8.0,8.0,8.0,5.0,6.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
5.0,6.0,6.0,7.0,8.0,6.0,4.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
